	url	title	details
0	http://video.kepuchina.cn/spaq/content_1494.shtml	儿童饮食健康 第1集	儿童新陈代谢旺盛，对各种营养素的需要量相对高于成人，合理的膳食习惯是儿童健康成长的保证。
1	http://www.kepuchina.cn/1/11/201710/t20171024_234255.shtml	“多吃肥肉更长寿”系误读 健康饮食还得注意多样化	近日，朋友圈中流传着一些为脂肪“正名”的文章，这些文章大多来源于医学杂志《柳叶刀》于8月29日发表的一项关于饮食方面的研究。
2	http://www.kepuchina.cn/health/care/201802/t20180226_553946.shtml	节后一定要看的健康饮食，让你打好保“胃”战	略了这些不健康的饮食习惯给肠胃带来不必要的负担。以上是小编总结梳理的节日保护肠胃的方法，提醒大家健康护肠胃呦！公众科普科学传播中国科协官方微信国家科普平台长按识别左侧二维码，关注我们。...
3	http://www.kepuchina.cn/qykj/shkx/201612/t20161222_56825.shtml	吃红肉不健康？专家称红肉是健康饮食的一部分	"比如，英美健康饮食指南就建议，红肉每日摄入量不超过７０克。但最新一期《美国临床营养学杂志》刊载的一项研究结果显示，多吃点红肉不会影响血压、胆固醇等心脏病风险因素的水平，相反，未加工红肉对心血管疾病患者而言还是一种优质的营养来源。
美国普渡大学研究人员综合分析了２４项有关心血管疾病患者饮食习惯与心脏病风险关联的临床研究后发现，每次食用８５..."
4	http://www.kepuchina.cn/health/food/201807/t20180704_646885.shtml	湿热交织身体不适？你需要一份健康的饮食清单	织的时节，饮食上稍有不慎，就可能导致身体出现不适。据《广州日报》报道，木槿花味微苦，具有清热利湿、凉血解毒之功，常用于治疗痢疾腹泻，疮肿及小便不利等。将生姜切丝，与虾仁一起放入锅中煸炒后加入1000ml清水，大火烧开后再加入切丝的嫩豆腐、蛋清及木槿花，转中火烧开后调味即可。据《西安晚报》报道，中医认为脾主运化，喜燥恶湿，因此小满时节饮食调理应以清热利湿、助脾运化为基...
5	http://www.kepuchina.cn/2/23/201709/t20170925_228702.shtml	饮食过量导致肥胖，如何合理饮食瘦下来?	饮食过量导致肥胖，如何合理饮食瘦下来?
6	http://www.kepuchina.cn/more/201608/t20160819_20098.shtml	跟着饮食走 良好饮食习惯能长寿	良好的饮食习惯有哪些，而不良的饮食习惯又有哪些，都来看一看。 声明：图片来源网络，如有侵权，敬请告知良好的饮食习惯。7.少喝或者是不喝咖啡以及浓茶，因为咖啡喝浓茶中含有的物质不利于钙质的吸收。2.吃得太饱吃得太饱会增加胃的负担，会导致胃液的供不应求，造成消化不良，同时也会导致血液集中在肠胃，而大脑、心脏会相应的缺血，久而久之，会容易导致冠心...
7	http://www.kepuchina.cn/1/15/201612/t20161219_56076.shtml	寒冬饮食三不宜	但是寒冬饮食也需注意以下三点，否则可能会因为大雪饮食不当给我们来年身体造成一些健康困扰。我们中国人的体质也不适宜多吃寒凉的食物，所以这个时节饮食不宜贪凉。
8	http://www.kepuchina.cn/2/23/201611/t20161117_45979.shtml	注意啦！“过午不食”并不是健康的饮食习惯	"在日常饮食中，一些人往往会把购买的食材彻底清洗干净，还有一些人采用“过午不食”的方法来保持身材，这些做法靠谱吗？针对大家的疑问，记者采访到信科食品与营养信息交流中心业务部主任阮光锋老师来为大家解答。

吃水果补充维生素C(图片来源：人民网-安徽频道）
食物不必过分追求洗净
为求得心理上的安全感，人们往往将购买回来的蔬菜、水果彻底清洗干净，认为这样才能吃得健康［..."
9	http://www.kepuchina.cn/health/care/201805/t20180509_627144.shtml	母亲节关注“妈妈健康” 更年期饮食要注意这6点	关于“妈妈健康”的话题又被很多人关注了起来。确实，再过美丽温柔的女人都无法逃脱更年期的“侵袭”，在更年期这段时期里，女性可能会出现各种各样的身心不适，又因不少女性在这个阶段情绪阴晴不定，有人甚至把“易燃易爆炸”作为更年期的代名词。大多数人不知道的是，饮食合理对于帮助女性更加顺利的度过更年期意义重大。那么，更年期究竟该如何界定呢？要想安稳地度过更年期，女性在［ｓｐａｎ...
